	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	429.0
1	256.0	56.0	56.0	1367.0
2	256.0	56.0	56.0	1391.0
3	256.0	56.0	56.0	1350.0
4	64.0	56.0	56.0	426.0
5	256.0	56.0	56.0	1392.0
6	256.0	56.0	56.0	1282.0
7	256.0	56.0	56.0	1402.0
8	64.0	56.0	56.0	417.0
9	256.0	56.0	56.0	1448.0
10	256.0	56.0	56.0	1332.0
11	256.0	56.0	56.0	1381.0
12	64.0	56.0	56.0	407.0
13	256.0	56.0	56.0	1268.0
14	256.0	56.0	56.0	1355.0
15	256.0	56.0	56.0	1356.0
16	64.0	56.0	56.0	458.0
17	256.0	56.0	56.0	1307.0
18	256.0	56.0	56.0	1382.0
19	256.0	56.0	56.0	1345.0
20	64.0	56.0	56.0	417.0
21	256.0	56.0	56.0	1310.0
22	256.0	56.0	56.0	1300.0
23	256.0	56.0	56.0	1366.0
24	64.0	56.0	56.0	415.0
25	256.0	56.0	56.0	1395.0
26	256.0	56.0	56.0	1369.0
27	256.0	56.0	56.0	1350.0
28	64.0	56.0	56.0	383.0
29	256.0	56.0	56.0	1382.0
30	256.0	56.0	56.0	1338.0
31	256.0	56.0	56.0	1228.0
32	64.0	56.0	56.0	408.0
33	256.0	56.0	56.0	1370.0
34	256.0	56.0	56.0	1367.0
35	256.0	56.0	56.0	1366.0
36	64.0	56.0	56.0	385.0
37	256.0	56.0	56.0	1294.0
38	256.0	56.0	56.0	1483.0
39	256.0	56.0	56.0	1400.0
40	64.0	56.0	56.0	358.0
41	256.0	56.0	56.0	1417.0
42	256.0	56.0	56.0	1378.0
43	256.0	56.0	56.0	1391.0
44	64.0	56.0	56.0	410.0
45	256.0	56.0	56.0	1396.0
46	256.0	56.0	56.0	1361.0
47	256.0	56.0	56.0	1307.0
48	64.0	56.0	56.0	371.0
49	256.0	56.0	56.0	1387.0
50	256.0	56.0	56.0	1336.0
51	256.0	56.0	56.0	1343.0
52	64.0	56.0	56.0	415.0
53	256.0	56.0	56.0	1389.0
54	256.0	56.0	56.0	1345.0
55	256.0	56.0	56.0	1378.0
56	64.0	56.0	56.0	430.0
57	256.0	56.0	56.0	1324.0
58	256.0	56.0	56.0	1357.0
59	256.0	56.0	56.0	1267.0
